GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,Income in 1999 below poverty level:
VD03,Income in 1999 below poverty level: - Under 5 years
VD04,Income in 1999 below poverty level: - 5 years
VD05,Income in 1999 below poverty level: - 6 to 11 years
VD06,Income in 1999 below poverty level: - 12 to 17 years
VD07,Income in 1999 below poverty level: - 18 to 64 years
VD08,Income in 1999 below poverty level: - 65 to 74 years
VD09,Income in 1999 below poverty level: - 75 years and over
VD10,Income in 1999 at or above poverty level:
VD11,Income in 1999 at or above poverty level: - Under 5 years
VD12,Income in 1999 at or above poverty level: - 5 years
VD13,Income in 1999 at or above poverty level: - 6 to 11 years
VD14,Income in 1999 at or above poverty level: - 12 to 17 years
VD15,Income in 1999 at or above poverty level: - 18 to 64 years
VD16,Income in 1999 at or above poverty level: - 65 to 74 years
VD17,Income in 1999 at or above poverty level: - 75 years and over
