RD,ID,Date,IUCR,IUCR Primary Description,Weapon Used,Status,Address,City,Beat,District
HS100027,7296966,01/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,78XX S WOOD ST,CHICAGO,0611,06
HS100196,7297039,01/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,22XX W ARTHUR AVE,CHICAGO,2412,24
HS100445,7297142,01/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,6XX N TRUMBULL AVE,CHICAGO,1121,11
HS100912,7297500,01/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,9XX N HAMLIN AVE,CHICAGO,1112,11
HS103194,7299534,01/03/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,77XX S CHAMPLAIN AVE,CHICAGO,0624,06
HS104234,7300671,01/04/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,71XX S VINCENNES AVE,CHICAGO,0731,07
HS104874,7301325,01/04/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,29XX W 61ST ST,CHICAGO,0823,08
HS105176,7301481,01/04/10,041A,BATTERY,FIREARM,1-SUSPENDED,17XX W 45TH ST,CHICAGO,0914,09
HS105401,7301616,01/05/10,033A,ROBBERY,FIREARM,3-CLEARED CLOSED,59XX W AUGUSTA BLVD,CHICAGO,1511,15
HS105845,7303093,01/05/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,64XX S MAPLEWOOD AVE,CHICAGO,0825,08
HS106092,7303526,01/05/10,480,BATTERY,FIREARM,3-CLEARED CLOSED,1XX W 109TH ST,CHICAGO,0513,05
HS106271,7302974,01/05/10,041A,BATTERY,FIREARM,1-SUSPENDED,67XX S ST LAWRENCE AVE,CHICAGO,0321,03
HS106380,7302943,01/05/10,041A,BATTERY,FIREARM,1-SUSPENDED,8XX N MOHAWK ST,CHICAGO,1823,18
HS106614,7303083,01/05/10,041A,BATTERY,FIREARM,1-SUSPENDED,48XX W FULTON ST,CHICAGO,1532,15
HS107693,7305198,01/06/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,10XX N LONG AVE,CHICAGO,1524,15
HS108226,7305095,01/06/10,041A,BATTERY,FIREARM,4-CLEARED OPEN,31XX N LONG AVE,CHICAGO,2514,25
HS108483,7304813,01/06/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,41XX W 27TH ST,CHICAGO,1031,10
HS108497,7304773,01/06/10,041A,BATTERY,FIREARM,1-SUSPENDED,79XX S BRANDON AVE,CHICAGO,0422,04
HS108656,7304916,01/07/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,44XX W CHICAGO AVE,CHICAGO,1111,11
HS116692,7312752,01/07/10,110,HOMICIDE,FIREARM,5-EX CLEARED CLOSED,76XX S PRAIRIE AVE,CHICAGO,0623,06
HS109979,7306448,01/07/10,033A,ROBBERY,FIREARM,1-SUSPENDED,28XX W MARQUETTE RD,CHICAGO,0831,08
HS110088,7306192,01/07/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,69XX S ST LAWRENCE AVE,CHICAGO,0322,03
HS110516,7307060,01/08/10,041A,BATTERY,FIREARM,1-SUSPENDED,67XX S JEFFERY BLVD,CHICAGO,0331,03
HS111525,7307590,01/08/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,18XX S DRAKE AVE,CHICAGO,1021,10
HS111666,7307568,01/08/10,041A,BATTERY,FIREARM,1-SUSPENDED,51XX W KINZIE ST,CHICAGO,1532,15
HS111814,7309901,01/09/10,041A,BATTERY,FIREARM,1-SUSPENDED,3XX E 130TH ST,CHICAGO,0533,05
HS112109,7307981,01/09/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,8XX N TRUMBULL AVE,CHICAGO,1121,11
HS112636,7308290,01/09/10,041A,BATTERY,FIREARM,6-EX CLEARED OPEN,12XX N PARKSIDE AVE,CHICAGO,2531,25
HS112924,7308439,01/09/10,041A,BATTERY,FIREARM,1-SUSPENDED,17XX N KARLOV AVE,CHICAGO,2534,25
HS113945,7309178,01/10/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,51XX S WESTERN BLVD,CHICAGO,0915,09
HS113962,7309230,01/10/10,488,BATTERY,FIREARM,5-EX CLEARED CLOSED,14XX N ARTESIAN AVE,CHICAGO,1423,14
HS114117,7309366,01/10/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,78XX S SOUTH SHORE DR,CHICAGO,0421,04
HS114304,7309430,01/10/10,041A,BATTERY,FIREARM,1-SUSPENDED,32XX S LITUANICA AVE,CHICAGO,0924,09
HS115397,7311391,01/11/10,041A,BATTERY,FIREARM,1-SUSPENDED,13XX N HAMLIN AVE,CHICAGO,2535,25
HS115563,7310897,01/11/10,041A,BATTERY,FIREARM,1-SUSPENDED,17XX W 63RD ST,CHICAGO,0714,07
HS115888,7311083,01/11/10,041A,BATTERY,FIREARM,1-SUSPENDED,13XX W 18TH PL,CHICAGO,1233,12
HS117175,7312749,01/12/10,041A,BATTERY,FIREARM,1-SUSPENDED,9XX W 32ND ST,CHICAGO,0924,09
HS119935,7315912,01/13/10,041A,BATTERY,FIREARM,1-SUSPENDED,57XX S PAULINA ST,CHICAGO,0715,07
HS118133,7315080,01/13/10,041A,BATTERY,FIREARM,1-SUSPENDED,11XX N LAWNDALE AVE,CHICAGO,1112,11
HS118630,7314399,01/13/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,82XX S COLES AVE,CHICAGO,0424,04
HS118767,7314655,01/13/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,83XX S BUFFALO AVE,CHICAGO,0424,04
HS118983,7314614,01/13/10,031A,ROBBERY,FIREARM,1-SUSPENDED,68XX S TALMAN AVE,CHICAGO,0831,08
HS119205,7314814,01/14/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,20XX N PULASKI RD,CHICAGO,2525,25
HS119266,7318551,01/14/10,041A,BATTERY,FIREARM,1-SUSPENDED,21XX S LAFLIN ST,CHICAGO,1222,12
HS120189,7316338,01/14/10,041A,BATTERY,FIREARM,1-SUSPENDED,61XX S ST LAWRENCE AVE,CHICAGO,0313,03
HS120797,7316525,01/14/10,041A,BATTERY,FIREARM,1-SUSPENDED,23XX S KOSTNER AVE,CHICAGO,1013,10
HS120957,7316731,01/15/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,37XX W CULLOM AVE,CHICAGO,1723,17
HS121694,7317906,01/15/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,21XX N LAVERGNE AVE,CHICAGO,2522,25
HS121742,7317918,01/15/10,041A,BATTERY,FIREARM,1-SUSPENDED,24XX W LITHUANIAN PLAZA CT,CHICAGO,0832,08
HS121793,7318015,01/15/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,11XX N PULASKI RD,CHICAGO,1112,11
HS121912,7317921,01/15/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,4XX E 110TH PL,CHICAGO,0513,05
HS122300,7318136,01/15/10,031B,ROBBERY,FIREARM,1-SUSPENDED,11XX W GARFIELD BLVD,CHICAGO,0712,07
HS122584,7318362,01/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,15XX N BOSWORTH AVE,CHICAGO,1433,14
HS122637,7318396,01/16/10,331,ROBBERY,FIREARM,4-CLEARED OPEN,20XX W 63RD ST,CHICAGO,0726,07
HS123223,7319005,01/16/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,26XX W 64TH ST,CHICAGO,0825,08
HS123276,7318950,01/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,71XX S STATE ST,CHICAGO,0323,03
HS123494,7319080,01/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,94XX S JEFFERY AVE,CHICAGO,0413,04
HS123566,7319085,01/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,4XX E 61ST ST,CHICAGO,0313,03
HS123972,7319347,01/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,93XX S ESCANABA AVE,CHICAGO,0423,04
HS124086,7319411,01/17/10,041A,BATTERY,FIREARM,1-SUSPENDED,80XX S DAMEN AVE,CHICAGO,0611,06
HS124032,7322164,01/17/10,041A,BATTERY,FIREARM,1-SUSPENDED,67XX S ASHLAND AVE,CHICAGO,0725,07
HS124145,7319511,01/17/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,75XX S UNION AVE,CHICAGO,0621,06
HS124187,7319521,01/17/10,041A,BATTERY,FIREARM,1-SUSPENDED,28XX N CENTRAL AVE,CHICAGO,2514,25
HS125082,7320240,01/17/10,041A,BATTERY,FIREARM,1-SUSPENDED,91XX S COTTAGE GROVE AVE,CHICAGO,0633,06
HS125093,7320288,01/17/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,41XX S WALLACE ST,CHICAGO,0935,09
HS125402,7320726,01/18/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,13XX W 15TH ST,CHICAGO,1231,12
HS126174,7321219,01/18/10,041A,BATTERY,FIREARM,1-SUSPENDED,7XX E 75TH ST,CHICAGO,0323,03
HS126431,7321372,01/18/10,041A,BATTERY,FIREARM,1-SUSPENDED,69XX S ARTESIAN AVE,CHICAGO,0832,08
HS127991,7323343,01/19/10,041A,BATTERY,FIREARM,1-SUSPENDED,5XX E 51ST ST,CHICAGO,0223,02
HS128114,7323428,01/19/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,60XX S DR MARTIN LUTHER KING JR DR,CHICAGO,0313,03
HS128187,7323432,01/19/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,33XX W 27TH ST,CHICAGO,1032,10
HS128798,7325745,01/20/10,033A,ROBBERY,FIREARM,1-SUSPENDED,17XX N ROCKWELL ST,CHICAGO,1421,14
HS129204,7324953,01/20/10,041A,BATTERY,FIREARM,1-SUSPENDED,52XX S ASHLAND AVE,CHICAGO,0932,09
HS129937,7325549,01/20/10,041A,BATTERY,FIREARM,1-SUSPENDED,5XX E 76TH ST,CHICAGO,0624,06
HS130478,7326845,01/21/10,031A,ROBBERY,FIREARM,3-CLEARED CLOSED,66XX S UNION AVE,CHICAGO,0723,07
HS130559,7326794,01/21/10,041A,BATTERY,FIREARM,1-SUSPENDED,10XX N PULASKI RD,CHICAGO,1112,11
HS131341,7327349,01/21/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,28XX S KENNETH AVE,CHICAGO,1031,10
HS131581,7878315,01/21/10,041A,BATTERY,FIREARM,1-SUSPENDED,43XX W AUGUSTA BLVD,CHICAGO,1111,11
HS131861,7328313,01/22/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,28XX S KEDVALE AVE,CHICAGO,1031,10
HS132183,7328826,01/22/10,031A,ROBBERY,FIREARM,6-EX CLEARED OPEN,66XX S HONORE ST,CHICAGO,0726,07
HS132307,7329080,01/22/10,041A,BATTERY,FIREARM,1-SUSPENDED,56XX S ROCKWELL ST,CHICAGO,0824,08
HS132694,7329546,01/22/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,7XX N PULASKI RD,CHICAGO,1111,11
HS132797,7337892,01/22/10,041A,BATTERY,FIREARM,1-SUSPENDED,76XX S PULASKI RD,CHICAGO,0833,08
HS134482,7330466,01/22/10,041A,BATTERY,FIREARM,1-SUSPENDED,50XX S DAMEN AVE,CHICAGO,0915,09
HS133028,7329410,01/23/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,20XX N KARLOV AVE,CHICAGO,2525,25
HS133154,7329469,01/23/10,488,BATTERY,FIREARM,3-CLEARED CLOSED,131XX S CORLISS AVE,CHICAGO,0533,05
HS133755,7329960,01/23/10,041A,BATTERY,FIREARM,1-SUSPENDED,XX N LOREL AVE,CHICAGO,1522,15
HS134162,7330370,01/23/10,041A,BATTERY,FIREARM,1-SUSPENDED,7XX W 111TH ST,CHICAGO,2233,22
HS134178,7330381,01/23/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,9XX N HAMLIN AVE,CHICAGO,1112,11
HS134479,7330418,01/23/10,041A,BATTERY,FIREARM,1-SUSPENDED,9XX W 95TH ST,CHICAGO,2223,22
HS134500,7330425,01/23/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,4XX N CENTRAL AVE,CHICAGO,1523,15
HS134548,7330421,01/24/10,041A,BATTERY,FIREARM,1-SUSPENDED,12XX W 73RD ST,CHICAGO,0734,07
HS134611,7330483,01/24/10,041A,BATTERY,FIREARM,1-SUSPENDED,57XX S CAMPBELL AVE,CHICAGO,0824,08
HS134754,7330600,01/24/10,041A,BATTERY,FIREARM,1-SUSPENDED,35XX W SHAKESPEARE AVE,CHICAGO,1413,14
HS134778,7332750,01/24/10,031A,ROBBERY,FIREARM,1-SUSPENDED,2XX W 105TH ST,CHICAGO,0512,05
HS135299,7331014,01/24/10,041A,BATTERY,FIREARM,0-OPEN ASSIGNED,61XX S COTTAGE GROVE AVE,CHICAGO,0313,03
HS135673,7331310,01/24/10,041A,BATTERY,FIREARM,1-SUSPENDED,55XX W GLADYS AVE,CHICAGO,1522,15
HS137251,7333434,01/26/10,031A,ROBBERY,FIREARM,3-CLEARED CLOSED,72XX S YALE AVE,CHICAGO,0731,07
HS137414,7334249,01/26/10,031A,ROBBERY,FIREARM,1-SUSPENDED,76XX S VINCENNES AVE,CHICAGO,0623,06
HS137901,7334994,01/26/10,041A,BATTERY,FIREARM,6-EX CLEARED OPEN,62XX S SPRINGFIELD AVE,CHICAGO,0823,08
HS138400,7335246,01/26/10,041A,BATTERY,FIREARM,1-SUSPENDED,28XX S KARLOV AVE,CHICAGO,1031,10
HS138589,7335439,01/26/10,041A,BATTERY,FIREARM,1-SUSPENDED,15XX S SPAULDING AVE,CHICAGO,1022,10
HS139646,7337132,01/27/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,74XX S STEWART AVE,CHICAGO,0732,07
HS140013,7337436,01/27/10,041A,BATTERY,FIREARM,1-SUSPENDED,41XX W 18TH ST,CHICAGO,1012,10
HS140312,7337609,01/28/10,041B,BATTERY,FIREARM,1-SUSPENDED,58XX S ARTESIAN AVE,CHICAGO,0824,08
HS141537,7339416,01/28/10,041A,BATTERY,FIREARM,1-SUSPENDED,18XX E 72ND ST,CHICAGO,0324,03
HS143218,7341302,01/29/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,36XX W CORTLAND ST,CHICAGO,2535,25
HS143351,7341347,01/30/10,041A,BATTERY,FIREARM,1-SUSPENDED,59XX S NORMAL BLVD,CHICAGO,0711,07
HS143410,7342490,01/30/10,041A,BATTERY,FIREARM,1-SUSPENDED,71XX S CHAMPLAIN AVE,CHICAGO,0323,03
HS144789,7342333,01/31/10,041A,BATTERY,FIREARM,1-SUSPENDED,50XX S CAMPBELL AVE,CHICAGO,0911,09
HS144786,7342512,01/31/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,82XX S CHAPPEL AVE,CHICAGO,0414,04
HS144799,7342315,01/31/10,041A,BATTERY,FIREARM,1-SUSPENDED,61XX S ROCKWELL ST,CHICAGO,0825,08
HS145684,7343051,01/31/10,041A,BATTERY,FIREARM,1-SUSPENDED,130XX S ELLIS AVE,CHICAGO,0533,05
HS146134,7344005,02/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,44XX N HAZEL ST,CHICAGO,2313,23
HS146364,7344106,02/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,7XX N LAMON AVE,CHICAGO,1531,15
HS146640,7344610,02/01/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,11XX N KEYSTONE AVE,CHICAGO,1111,11
HS146807,7344731,02/01/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,73XX S RACINE AVE,CHICAGO,0733,07
HS147186,7344917,02/01/10,033A,ROBBERY,FIREARM,1-SUSPENDED,16XX N PARKSIDE AVE,CHICAGO,2531,25
HS147235,7345023,02/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,3XX N LARAMIE AVE,CHICAGO,1523,15
HS147707,7345903,02/02/10,031A,ROBBERY,FIREARM,1-SUSPENDED,19XX S TRUMBULL AVE,CHICAGO,1024,10
HS147933,7346300,02/02/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,83XX S HERMITAGE AVE,CHICAGO,0614,06
HS148147,7346430,02/02/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,4XX N CICERO AVE,CHICAGO,1532,15
HS148408,7348969,02/02/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,9XX N TRUMBULL AVE,CHICAGO,1121,11
HS148489,7346642,02/02/10,110,HOMICIDE,FIREARM,4-CLEARED OPEN,85XX S MORGAN ST,CHICAGO,0613,06
HS148837,7346808,02/03/10,041A,BATTERY,FIREARM,1-SUSPENDED,3XX S SACRAMENTO BLVD,CHICAGO,1124,11
HS149738,7348253,02/03/10,041A,BATTERY,FIREARM,1-SUSPENDED,38XX W 79TH PL,CHICAGO,0834,08
HS150101,7348571,02/03/10,480,BATTERY,FIREARM,3-CLEARED CLOSED,44XX W 63RD ST,CHICAGO,0813,08
HS150249,7348589,02/03/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,22XX S CALIFORNIA AVE,CHICAGO,1033,10
HS150374,7348654,02/04/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,72XX S TALMAN AVE,CHICAGO,0831,08
HS150419,7348709,02/04/10,041A,BATTERY,FIREARM,1-SUSPENDED,7XX E 107TH ST,CHICAGO,0513,05
HS152798,7351637,02/05/10,041A,BATTERY,FIREARM,1-SUSPENDED,112XX S MICHIGAN AVE,CHICAGO,0531,05
HS153507,7351980,02/06/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,12XX N BURLING ST,CHICAGO,1822,18
HS153874,7352377,02/06/10,031A,ROBBERY,FIREARM,3-CLEARED CLOSED,47XX S PRINCETON AVE,CHICAGO,0935,09
HS154766,7352987,02/07/10,041A,BATTERY,FIREARM,1-SUSPENDED,6XX E 75TH ST,CHICAGO,0323,03
HS154793,7352999,02/07/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,22XX W CHICAGO AVE,CHICAGO,1312,13
HS154800,7352979,02/07/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,29XX W ROOSEVELT RD,CHICAGO,1135,11
HS154914,7353114,02/07/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,79XX S HALSTED ST,CHICAGO,0621,06
HS155269,7353559,02/07/10,031A,ROBBERY,FIREARM,4-CLEARED OPEN,27XX W VAN BUREN ST,CHICAGO,1125,11
HS155744,7353711,02/07/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,61XX S DR MARTIN LUTHER KING JR DR,CHICAGO,0311,03
HS156645,7354982,02/08/10,041A,BATTERY,FIREARM,1-SUSPENDED,53XX S CALUMET AVE,CHICAGO,0232,02
HS156740,7355139,02/08/10,041A,BATTERY,FIREARM,1-SUSPENDED,89XX S EXCHANGE AVE,CHICAGO,0423,04
HS158767,7356900,02/10/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,3XX E 131ST PL,CHICAGO,0533,05
HS160983,7359825,02/11/10,041A,BATTERY,FIREARM,1-SUSPENDED,98XX S GENOA AVE,CHICAGO,2223,22
HS161218,7359935,02/11/10,041A,BATTERY,FIREARM,0-OPEN ASSIGNED,57XX S ARTESIAN AVE,CHICAGO,0824,08
HS161284,7360073,02/11/10,041A,BATTERY,FIREARM,1-SUSPENDED,21XX N TRIPP AVE,CHICAGO,2522,25
HS161420,7360046,02/11/10,041A,BATTERY,FIREARM,1-SUSPENDED,34XX W ADAMS ST,CHICAGO,1123,11
HS161981,7360654,02/12/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,7XX S PULASKI RD,CHICAGO,1132,11
HS162257,7360838,02/12/10,031A,ROBBERY,FIREARM,1-SUSPENDED,78XX S COLES AVE,CHICAGO,0421,04
HS162672,7360950,02/12/10,041A,BATTERY,FIREARM,1-SUSPENDED,30XX W 44TH ST,CHICAGO,0912,09
HS162776,7361102,02/12/10,041A,BATTERY,FIREARM,1-SUSPENDED,110XX S STATE ST,CHICAGO,0513,05
HS162880,7361084,02/12/10,041A,BATTERY,FIREARM,1-SUSPENDED,24XX N MEADE AVE,CHICAGO,2512,25
HS163032,7361205,02/13/10,041A,BATTERY,FIREARM,1-SUSPENDED,24XX W 57TH ST,CHICAGO,0824,08
HS163108,7361222,02/13/10,041A,BATTERY,FIREARM,1-SUSPENDED,66XX S LAFLIN ST,CHICAGO,0725,07
HS163893,7361934,02/13/10,041A,BATTERY,FIREARM,1-SUSPENDED,25XX N LOCKWOOD AVE,CHICAGO,2515,25
HS164189,7362052,02/13/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,112XX S HERMOSA AVE,CHICAGO,2212,22
HS164180,7361994,02/13/10,041A,BATTERY,FIREARM,1-SUSPENDED,15XX W 69TH ST,CHICAGO,0725,07
HS164376,7362191,02/14/10,041A,BATTERY,FIREARM,1-SUSPENDED,14XX S WESTERN AVE,CHICAGO,1023,10
HS164445,7362167,02/14/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,59XX S SPAULDING AVE,CHICAGO,0822,08
HS164450,7362215,02/14/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,4XX S WELLS ST,CHICAGO,0131,01
HS164665,7362532,02/14/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,41XX W FLETCHER ST,CHICAGO,2523,25
HS165145,7363072,02/14/10,041A,BATTERY,FIREARM,6-EX CLEARED OPEN,30XX W WARREN BLVD,CHICAGO,1331,13
HS165876,7364040,02/15/10,041A,BATTERY,FIREARM,1-SUSPENDED,58XX S CALIFORNIA AVE,CHICAGO,0824,08
HS166210,7363784,02/15/10,041A,BATTERY,FIREARM,1-SUSPENDED,51XX S WOOD ST,CHICAGO,0932,09
HS166369,7363651,02/15/10,041A,BATTERY,FIREARM,1-SUSPENDED,3XX W 113TH ST,CHICAGO,0522,05
HS166624,7363849,02/15/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,43XX W FLOURNOY ST,CHICAGO,1131,11
HS168067,7365245,02/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,15XX E 85TH ST,CHICAGO,0412,04
HS168362,7365459,02/17/10,041A,BATTERY,FIREARM,1-SUSPENDED,15XX W NORTH AVE,CHICAGO,1433,14
HS169125,7366828,02/17/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,86XX S EUCLID AVE,CHICAGO,0412,04
HS169251,7366851,02/17/10,041A,BATTERY,FIREARM,1-SUSPENDED,28XX E 85TH ST,CHICAGO,0423,04
HS169499,7366954,02/17/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,8XX N KEELER AVE,CHICAGO,1111,11
HS170173,7368993,02/18/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,13XX S TRIPP AVE,CHICAGO,1011,10
HS170820,7368545,02/18/10,041A,BATTERY,FIREARM,1-SUSPENDED,24XX N LOREL AVE,CHICAGO,2515,25
HS170930,7368620,02/18/10,041A,BATTERY,FIREARM,1-SUSPENDED,3XX E PERSHING RD,CHICAGO,0211,02
HS171029,7368735,02/18/10,041A,BATTERY,FIREARM,6-EX CLEARED OPEN,33XX W 16TH ST,CHICAGO,1021,10
HS171044,7368749,02/18/10,041A,BATTERY,FIREARM,1-SUSPENDED,63XX S ST LAWRENCE AVE,CHICAGO,0312,03
HS171392,7368889,02/19/10,041A,BATTERY,FIREARM,1-SUSPENDED,30XX W BELDEN AVE,CHICAGO,1414,14
HS172172,7370388,02/19/10,041A,BATTERY,FIREARM,1-SUSPENDED,68XX S DORCHESTER AVE,CHICAGO,0321,03
HS172483,7370493,02/19/10,041A,BATTERY,FIREARM,1-SUSPENDED,80XX S COLES AVE,CHICAGO,0422,04
HS172930,7370678,02/20/10,041A,BATTERY,FIREARM,1-SUSPENDED,16XX N CICERO AVE,CHICAGO,2533,25
HS172980,7370721,02/20/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,24XX N KOSTNER AVE,CHICAGO,2524,25
HS173256,7370973,02/20/10,041A,BATTERY,FIREARM,1-SUSPENDED,66XX S DR MARTIN LUTHER KING JR DR,CHICAGO,0312,03
HS173180,7371144,02/20/10,041A,BATTERY,FIREARM,1-SUSPENDED,15XX E 69TH ST,CHICAGO,0332,03
HS173414,7371138,02/20/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,3XX W 75TH ST,CHICAGO,0731,07
HS173762,7371344,02/20/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,47XX W GLADYS AVE,CHICAGO,1131,11
HS173837,7371401,02/20/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,73XX S CARPENTER ST,CHICAGO,0733,07
HS174243,7371666,02/21/10,041A,BATTERY,FIREARM,1-SUSPENDED,6XX N LA SALLE DR,CHICAGO,1832,18
HS174311,7371927,02/21/10,041A,BATTERY,FIREARM,1-SUSPENDED,7XX E 67TH ST,CHICAGO,0321,03
HS174391,7371849,02/21/10,110,HOMICIDE,FIREARM,4-CLEARED OPEN,43XX W POTOMAC AVE,CHICAGO,2534,25
HS174663,7372765,02/21/10,041A,BATTERY,FIREARM,1-SUSPENDED,81XX S KEDZIE AVE,CHICAGO,0834,08
HS174820,7372131,02/21/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,47XX S UNION AVE,CHICAGO,0935,09
HS174920,7372230,02/21/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,65XX S PEORIA ST,CHICAGO,0723,07
HS176538,7377463,02/22/10,041A,BATTERY,FIREARM,0-OPEN ASSIGNED,116XX S NORMAL AVE,CHICAGO,0522,05
HS176996,7377471,02/23/10,041A,BATTERY,FIREARM,1-SUSPENDED,133XX S INDIANA AVE,CHICAGO,0533,05
HS177297,7375370,02/23/10,041A,BATTERY,FIREARM,1-SUSPENDED,36XX W FERDINAND ST,CHICAGO,1122,11
HS178013,7376009,02/23/10,041A,BATTERY,FIREARM,1-SUSPENDED,59XX S WOLCOTT AVE,CHICAGO,0714,07
HS179078,7377596,02/24/10,041A,BATTERY,FIREARM,1-SUSPENDED,16XX N KEELER AVE,CHICAGO,2534,25
HS180423,7379116,02/25/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,41XX W WEST END AVE,CHICAGO,1114,11
HS180894,7379686,02/25/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,11XX W WILSON AVE,CHICAGO,2311,23
HS182750,7381931,02/26/10,041A,BATTERY,FIREARM,1-SUSPENDED,118XX S YALE AVE,CHICAGO,0522,05
HS182767,7381619,02/26/10,041A,BATTERY,FIREARM,1-SUSPENDED,33XX S PAULINA ST,CHICAGO,0922,09
HS182961,7381749,02/26/10,041A,BATTERY,FIREARM,1-SUSPENDED,23XX W VAN BUREN ST,CHICAGO,1211,12
HS184336,7382921,02/27/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,15XX W THORNDALE AVE,CHICAGO,2013,20
HS184388,7382947,02/27/10,041A,BATTERY,FIREARM,1-SUSPENDED,41XX W 83RD ST,CHICAGO,0834,08
HS184359,7382748,02/27/10,041A,BATTERY,FIREARM,1-SUSPENDED,7XX W 59TH ST,CHICAGO,0711,07
HS184384,7382766,02/28/10,041A,BATTERY,FIREARM,1-SUSPENDED,68XX S WOOD ST,CHICAGO,0726,07
HS185104,7383329,02/28/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,54XX S INDIANA AVE,CHICAGO,0232,02
HS185414,7383546,02/28/10,041A,BATTERY,FIREARM,1-SUSPENDED,26XX W 22ND PL,CHICAGO,1034,10
HS185557,7383687,02/28/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,103XX S WALLACE ST,CHICAGO,2232,22
