GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US17031803100,17031803100,"Census Tract 8031, Cook County, Illinois",3442,237,3329,243,3152,261,40,38,0,11,74,66,0,11,0,11,63,77,0,11,63,77,113,54,113,54,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US17031803200,17031803200,"Census Tract 8032, Cook County, Illinois",5494,499,5098,518,4839,544,38,46,0,15,155,135,0,15,0,15,66,80,0,15,66,80,396,303,383,301,0,15,0,15,0,15,0,15,13,22,0,15,0,15,0,15
1400000US17031803300,17031803300,"Census Tract 8033, Cook County, Illinois",5857,405,5406,369,4774,315,41,49,0,15,532,227,0,15,26,42,33,27,0,15,33,27,451,346,373,338,16,24,0,15,0,15,0,15,46,69,16,26,16,26,0,15
1400000US17031803400,17031803400,"Census Tract 8034, Cook County, Illinois",6120,404,5827,424,5428,417,18,29,0,15,309,132,0,15,41,60,31,48,0,15,31,48,293,181,239,157,0,15,0,15,0,15,0,15,45,87,9,31,0,15,9,31
1400000US17031803500,17031803500,"Census Tract 8035, Cook County, Illinois",5827,282,5649,294,5428,330,27,43,0,15,142,147,0,15,0,15,52,71,0,15,52,71,178,162,109,99,0,15,0,15,0,15,0,15,0,15,69,101,0,15,69,101
1400000US17031803603,17031803603,"Census Tract 8036.03, Cook County, Illinois",6495,385,6432,399,5137,423,90,80,0,15,1091,273,0,15,0,15,114,107,0,15,114,107,63,103,63,103,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
1400000US17031803604,17031803604,"Census Tract 8036.04, Cook County, Illinois",4197,247,3877,249,3204,237,159,113,0,11,407,163,0,11,0,11,107,69,0,11,107,69,320,200,188,132,0,11,0,11,8,12,0,11,124,156,0,11,0,11,0,11
1400000US17031803605,17031803605,"Census Tract 8036.05, Cook County, Illinois",7286,436,6015,508,4916,471,142,166,0,15,863,197,0,15,20,38,74,76,18,30,56,67,1271,504,298,225,55,73,0,15,0,15,0,15,652,430,266,322,246,321,20,32
1400000US17031803606,17031803606,"Census Tract 8036.06, Cook County, Illinois",9177,759,3367,616,2290,414,147,139,0,15,908,490,0,15,0,15,22,37,0,15,22,37,5810,858,1077,460,0,15,44,69,0,15,0,15,4476,943,213,158,213,158,0,15
1400000US17031803607,17031803607,"Census Tract 8036.07, Cook County, Illinois",4885,205,4513,191,4120,200,24,26,0,11,273,75,0,11,17,26,79,63,0,11,79,63,372,140,206,90,0,11,0,11,0,11,0,11,160,168,6,9,0,11,6,9
1400000US17031803608,17031803608,"Census Tract 8036.08, Cook County, Illinois",7677,477,6505,405,4986,443,308,137,0,15,954,323,0,15,22,34,235,150,0,15,235,150,1172,388,223,127,40,65,0,15,0,15,0,15,838,417,71,90,71,90,0,15
1400000US17031803610,17031803610,"Census Tract 8036.10, Cook County, Illinois",7518,584,6571,482,5070,529,340,234,21,34,1083,394,0,15,14,22,43,47,0,15,43,47,947,373,147,132,29,34,0,15,0,15,0,15,411,198,360,304,340,301,20,32
1400000US17031803611,17031803611,"Census Tract 8036.11, Cook County, Illinois",5897,535,2896,328,1961,307,182,127,0,15,503,263,0,15,16,26,234,186,156,178,78,75,3001,565,488,253,0,15,0,15,0,15,0,15,2273,543,240,282,156,221,84,85
1400000US17031803612,17031803612,"Census Tract 8036.12, Cook County, Illinois",3614,343,1496,275,1172,217,80,68,9,14,228,137,0,11,0,11,7,18,0,11,7,18,2118,336,1144,406,20,31,14,16,0,11,0,11,940,469,0,11,0,11,0,11
1400000US17031803701,17031803701,"Census Tract 8037.01, Cook County, Illinois",2746,310,2518,238,2171,255,28,31,0,11,263,163,0,11,0,11,56,72,0,11,56,72,228,237,52,63,0,11,0,11,0,11,0,11,176,224,0,11,0,11,0,11
1400000US17031803702,17031803702,"Census Tract 8037.02, Cook County, Illinois",6051,345,5636,353,4717,388,42,44,0,15,641,193,0,15,26,39,210,207,0,15,210,207,415,175,141,110,0,15,23,37,0,15,0,15,251,177,0,15,0,15,0,15
1400000US17031803800,17031803800,"Census Tract 8038, Cook County, Illinois",4620,279,3993,217,3643,253,55,58,0,11,163,148,0,11,7,10,125,95,9,14,116,95,627,219,253,193,0,11,8,13,0,11,0,11,344,198,22,34,22,34,0,11
1400000US17031803901,17031803901,"Census Tract 8039.01, Cook County, Illinois",3487,255,3225,262,2895,288,45,44,0,11,253,130,0,11,0,11,32,29,0,11,32,29,262,176,182,139,0,11,64,100,0,11,0,11,16,25,0,11,0,11,0,11
1400000US17031803902,17031803902,"Census Tract 8039.02, Cook County, Illinois",3507,226,3047,304,2975,294,34,43,0,11,32,29,6,9,0,11,0,11,0,11,0,11,460,369,26,29,0,11,15,22,0,11,0,11,320,309,99,148,0,11,99,148
1400000US17031804000,17031804000,"Census Tract 8040, Cook County, Illinois",4659,255,3916,248,3420,269,80,54,0,11,319,156,0,11,0,11,97,73,0,11,97,73,743,205,358,199,0,11,0,11,0,11,0,11,378,207,7,10,7,10,0,11
