GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017
Id,Id2,Geography,Total:,Not Hispanic or Latino:,Not Hispanic or Latino: - White alone,Not Hispanic or Latino: - Black or African American alone,Not Hispanic or Latino: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Asian alone,Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Some Other Race alone,Not Hispanic or Latino: - Two or More Races,Hispanic or Latino:,Hispanic or Latino: - White alone,Hispanic or Latino: - Black or African American alone,Hispanic or Latino: - American Indian and Alaska Native alone,Hispanic or Latino: - Asian alone,Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: - Some Other Race alone,Hispanic or Latino: - Two or More Races
1580000US1714000031030500,1714000031030500,"Census Tract 305, Cook County (part), Chicago city, Illinois",6395,4769,3585,515,11,500,3,5,150,1626,801,18,56,6,1,625,119
1580000US1714000031030601,1714000031030601,"Census Tract 306.01 (part), Cook County (part), Chicago city, Illinois",4012,3491,1916,1035,9,419,0,13,99,521,263,15,7,5,0,199,32
1580000US1714000031030603,1714000031030603,"Census Tract 306.03, Cook County (part), Chicago city, Illinois",2095,1648,814,603,4,177,0,2,48,447,217,14,20,1,0,169,26
1580000US1714000031030604,1714000031030604,"Census Tract 306.04 (part), Cook County (part), Chicago city, Illinois",2976,2701,1441,595,1,565,1,9,89,275,151,7,7,4,0,84,22
1580000US1714000031030701,1714000031030701,"Census Tract 307.01, Cook County (part), Chicago city, Illinois",1549,1282,711,397,2,118,1,6,47,267,116,8,5,2,0,126,10
1580000US1714000031030702,1714000031030702,"Census Tract 307.02, Cook County (part), Chicago city, Illinois",1630,1506,924,165,4,362,0,5,46,124,82,5,0,0,0,27,10
1580000US1714000031030703,1714000031030703,"Census Tract 307.03, Cook County (part), Chicago city, Illinois",2830,2477,1564,560,12,260,2,9,70,353,153,26,11,5,0,131,27
1580000US1714000031030706,1714000031030706,"Census Tract 307.06 (part), Cook County (part), Chicago city, Illinois",3599,3212,2180,491,8,454,0,3,76,387,193,13,13,6,0,141,21
1580000US1714000031030800,1714000031030800,"Census Tract 308, Cook County (part), Chicago city, Illinois",4326,3848,3058,186,6,466,1,11,120,478,275,8,4,2,0,166,23
1580000US1714000031030900,1714000031030900,"Census Tract 309, Cook County (part), Chicago city, Illinois",3028,2357,1866,108,3,308,0,2,70,671,350,8,2,14,0,259,38
1580000US1714000031031000,1714000031031000,"Census Tract 310, Cook County (part), Chicago city, Illinois",3656,2822,2310,155,7,266,1,5,78,834,364,11,16,9,0,356,78
1580000US1714000031031100,1714000031031100,"Census Tract 311, Cook County (part), Chicago city, Illinois",4402,3759,2700,204,24,733,0,15,83,643,353,11,1,7,0,239,32
1580000US1714000031031200,1714000031031200,"Census Tract 312, Cook County (part), Chicago city, Illinois",5648,4796,1878,1641,32,1104,3,9,129,852,290,20,6,3,0,482,51
1580000US1714000031031300,1714000031031300,"Census Tract 313 (part), Cook County (part), Chicago city, Illinois",7076,6391,3251,1501,19,1448,2,16,154,685,339,18,5,1,0,263,59
1580000US1714000031031400,1714000031031400,"Census Tract 314 (part), Cook County (part), Chicago city, Illinois",5150,4783,3824,454,10,384,0,11,100,367,242,9,3,3,1,91,18
1580000US1714000031031501,1714000031031501,"Census Tract 315.01, Cook County (part), Chicago city, Illinois",4083,3568,1363,1164,7,946,2,10,76,515,230,17,16,2,0,219,31
1580000US1714000031031502,1714000031031502,"Census Tract 315.02, Cook County (part), Chicago city, Illinois",4354,3763,1337,1913,15,346,0,14,138,591,234,39,5,6,0,245,62
1580000US1714000031031700,1714000031031700,"Census Tract 317, Cook County (part), Chicago city, Illinois",6570,5371,3380,1446,23,324,1,24,173,1199,431,23,18,3,5,652,67
1580000US1714000031031800,1714000031031800,"Census Tract 318, Cook County (part), Chicago city, Illinois",1820,1397,1152,71,5,115,0,8,46,423,219,6,10,1,0,169,18
1580000US1714000031031900,1714000031031900,"Census Tract 319, Cook County (part), Chicago city, Illinois",2304,1962,1626,154,5,117,0,3,57,342,167,11,5,4,0,121,34
1580000US1714000031032100,1714000031032100,"Census Tract 321, Cook County (part), Chicago city, Illinois",7052,6154,4447,1190,13,374,0,9,121,898,419,27,9,12,1,372,58
1580000US1714000031040100,1714000031040100,"Census Tract 401, Cook County (part), Chicago city, Illinois",3985,2921,2313,178,22,324,0,12,72,1064,479,7,22,2,0,500,54
1580000US1714000031040201,1714000031040201,"Census Tract 402.01, Cook County (part), Chicago city, Illinois",6218,4843,3853,165,18,627,0,31,149,1375,660,19,28,5,0,584,79
1580000US1714000031040202,1714000031040202,"Census Tract 402.02, Cook County (part), Chicago city, Illinois",7249,5851,3513,518,8,1599,9,18,186,1398,688,46,21,22,5,508,108
1580000US1714000031040300,1714000031040300,"Census Tract 403, Cook County (part), Chicago city, Illinois",3069,2608,1730,120,2,667,0,5,84,461,254,1,12,16,1,147,30
1580000US1714000031040401,1714000031040401,"Census Tract 404.01, Cook County (part), Chicago city, Illinois",3092,2437,2056,47,3,256,2,1,72,655,313,4,6,5,0,289,38
1580000US1714000031040402,1714000031040402,"Census Tract 404.02, Cook County (part), Chicago city, Illinois",4468,3622,3091,122,10,275,0,38,86,846,402,17,7,5,0,367,48
1580000US1714000031040600,1714000031040600,"Census Tract 406, Cook County (part), Chicago city, Illinois",2434,2074,1853,40,1,116,0,5,59,360,181,9,6,1,0,127,36
1580000US1714000031040700,1714000031040700,"Census Tract 407, Cook County (part), Chicago city, Illinois",3123,2606,2221,100,2,197,0,4,82,517,250,3,1,1,0,218,44
1580000US1714000031040800,1714000031040800,"Census Tract 408, Cook County (part), Chicago city, Illinois",1514,1318,1113,74,2,97,0,2,30,196,108,3,3,1,0,69,12
1580000US1714000031040900,1714000031040900,"Census Tract 409, Cook County (part), Chicago city, Illinois",1950,1672,1506,31,1,85,0,7,42,278,128,6,1,1,0,130,12
1580000US1714000031050100,1714000031050100,"Census Tract 501, Cook County (part), Chicago city, Illinois",2290,2012,1815,38,6,104,0,6,43,278,161,1,5,1,0,91,19
1580000US1714000031050200,1714000031050200,"Census Tract 502, Cook County (part), Chicago city, Illinois",4837,4134,3611,116,10,300,2,12,83,703,429,8,9,10,0,212,35
1580000US1714000031050300,1714000031050300,"Census Tract 503, Cook County (part), Chicago city, Illinois",2365,1958,1728,41,3,133,0,5,48,407,254,3,5,0,0,119,26
1580000US1714000031050500,1714000031050500,"Census Tract 505, Cook County (part), Chicago city, Illinois",4754,4338,3926,65,4,215,5,2,121,416,277,8,9,1,0,80,41
1580000US1714000031050600,1714000031050600,"Census Tract 506, Cook County (part), Chicago city, Illinois",2071,1868,1722,33,2,77,0,3,31,203,128,1,6,0,0,46,22
1580000US1714000031050700,1714000031050700,"Census Tract 507, Cook County (part), Chicago city, Illinois",1418,1313,1191,27,1,52,2,4,36,105,65,4,0,0,0,30,6
1580000US1714000031050800,1714000031050800,"Census Tract 508, Cook County (part), Chicago city, Illinois",1289,1151,1053,10,0,68,0,1,19,138,86,0,0,1,0,36,15
1580000US1714000031050900,1714000031050900,"Census Tract 509, Cook County (part), Chicago city, Illinois",1391,1162,1044,23,0,72,0,1,22,229,123,3,0,1,0,75,27
1580000US1714000031051000,1714000031051000,"Census Tract 510, Cook County (part), Chicago city, Illinois",1503,1260,1149,28,3,53,0,4,23,243,140,3,5,4,0,77,14
1580000US1714000031051100,1714000031051100,"Census Tract 511, Cook County (part), Chicago city, Illinois",1556,1383,1255,31,0,56,1,2,38,173,112,1,0,2,0,46,12
1580000US1714000031051200,1714000031051200,"Census Tract 512, Cook County (part), Chicago city, Illinois",1516,1353,1262,26,1,29,1,2,32,163,93,2,0,0,0,55,13
1580000US1714000031051300,1714000031051300,"Census Tract 513, Cook County (part), Chicago city, Illinois",2683,2343,2147,40,6,103,3,3,41,340,193,1,7,1,0,113,25
